Hero,WinRate,PickRate,KDA-Ratio,ID
Abaddon,53.68,3.42,2.8,102
Alchemist,45.21,5.45,2.12,73
Ancient,Apparition,52.6,5.58,3.0,68
Anti-Mage,49.48,17.2,2.5,1
Arc,Warden,46.24,1.89,2.6,113
Axe,53.5,17.61,2.31,2
Bane,47.41,3.51,2.19,3
Batrider,43.03,1.72,2.35,65
Beastmaster,48.93,1.97,2.18,38
Bloodseeker,51.95,15.62,2.52,4
Bounty,Hunter,48.74,8.76,2.83,62
Brewmaster,51.79,2.41,2.83,78
Bristleback,51.67,15.63,2.53,99
Broodmother,45.36,2.42,1.97,61
Centaur,Warrunner,54.69,5.31,2.72,96
Chaos,Knight,54.83,8.32,2.71,81
Chen,44.76,0.9,2.17,66
Clinkz,50.76,9.19,2.7,56
Clockwerk,51.85,6.08,2.74,51
Crystal,Maiden,53.96,13.21,2.08,5
Dark,Seer,47.34,1.82,2.62,55
Dark,Willow,49.41,7.2,2.4,119
Dazzle,49.06,4.23,2.3,50
Death,Prophet,46.38,3.46,2.31,43
Disruptor,48.85,6.91,2.41,87
Doom,48.54,6.08,2.45,69
Dragon,Knight,51.89,8.27,2.54,49
Drow,Ranger,51.63,11.64,2.21,6
Earth,Spirit,43.75,3.22,2.1,107
Earthshaker,49.45,16.21,2.33,7
Elder,Titan,53.25,2.58,2.67,103
Ember,Spirit,47.18,6.73,3.02,106
Enchantress,47.1,4.01,2.68,58
Enigma,50.07,4.41,2.54,33
Faceless,Void,49.8,16.75,2.84,41
Grimstroke,47.46,2.05,2.36,121
Gyrocopter,46.32,5.21,2.69,72
Huskar,47.94,7.63,1.78,59
Invoker,49.17,25.76,3.07,74
Io,40.01,2.05,1.83,91
Jakiro,51.12,7.82,2.19,64
Juggernaut,50.78,22.33,2.7,8
Keeper,of,the,Light,46.92,4.25,2.38,90
Kunkka,48.06,12.23,2.7,23
Legion,Commander,47.86,18.27,2.28,104
Leshrac,46.03,2.18,2.04,52
Lich,52.86,6.53,2.67,31
Lifestealer,45.92,6.88,2.77,54
Lina,43.74,8.54,2.14,25
Lion,48.32,14.46,1.93,26
Lone,Druid,38.44,1.48,2.14,80
Luna,51.36,11.05,2.47,48
Lycan,50.47,2.05,2.57,77
Magnus,45.06,5.44,2.37,97
Medusa,49.64,7.97,2.96,94
Meepo,47.36,3.29,2.14,82
Mirana,49.6,15.15,3.23,9
Monkey,King,45.38,12.14,2.27,114
Morphling,46.24,5.98,2.95,10
Naga,Siren,45.88,1.96,2.62,89
"Natures,Prophet",41.97,5.96,1.93,53
Necrophos,53.08,11.98,2.79,36
Night,Stalker,51.19,4.2,2.93,60
Nyx,Assassin,50.01,7.14,2.46,88
Ogre,Magi,51.83,9.91,2.29,84
Omniknight,52.5,5.76,2.34,57
Oracle,44.27,1.97,2.42,111
Outworld,Devourer,49.22,7.95,2.72,76
Pangolier,44.51,6.96,2.38,120
Phantom,Assassin,50.76,25.02,2.61,44
Phantom,Lancer,50.54,11.04,2.7,12
Phoenix,51.32,4.31,2.8,110
Puck,41.91,4.48,2.68,13
Pudge,53.12,42.38,2.4,14
Pugna,45.92,4.76,2.16,45
Queen,of,Pain,45.97,7.87,2.96,39
Razor,46.84,4.27,2.44,15
Riki,54.57,15.95,3.11,32
Rubick,46.21,11.35,2.37,86
Sand,King,47.61,8.44,2.38,16
Shadow,Demon,47.28,2.89,2.18,79
Shadow,Fiend,47.1,22.03,2.68,11
Shadow,Shaman,53.02,14.55,1.8,27
Silencer,51.85,9.58,2.71,75
Skywrath,Mage,50.16,9.45,2.44,101
Slardar,49.04,8.15,2.28,28
Slark,48.69,13.69,2.61,93
Sniper,49.47,27.99,2.75,35
Spectre,57.88,10.67,3.87,67
Spirit,Breaker,53.67,13.83,3.04,71
Storm,Spirit,49.72,11.61,3.08,17
Sven,50.97,12.53,2.37,18
Techies,48.63,5.28,1.9,105
Templar,Assassin,43.45,4.23,2.55,46
Terrorblade,50.78,4.81,2.5,109
Tidehunter,50.52,5.54,2.8,29
Timbersaw,44.5,5.61,2.16,98
Tinker,48.87,13.99,3.09,34
Tiny,42.75,5.87,2.36,19
Treant,Protector,51.66,3.4,2.38,83
Troll,Warlord,49.11,8.51,2.34,95
Tusk,45.24,6.3,2.38,100
Underlord,54.8,4.81,2.59,108
Undying,52.92,4.14,2.72,85
Ursa,53.01,8.07,2.73,70
Vengeful,Spirit,54.67,7.82,2.41,20
Venomancer,49.55,7.02,2.37,40
Viper,49.12,9.74,2.72,47
Visage,50.96,1.49,2.74,92
Warlock,52.33,4.23,2.48,37
Weaver,49.45,9.34,3.31,63
Windranger,47.64,15.83,2.85,21
Winter,Wyvern,47.84,3.68,2.3,112
Witch,Doctor,50.13,9.25,2.18,30
Wraith,King,55.72,13.39,3.5,42
Zeus,57.15,16.56,3.87,22
